"","Company","Delta.price","Earnings.Per.Share.USD","Dividends.USD","Book.Value.Per.Share...USD","Return.on.Assets..","Return.on.Equity..","Return.on.Invested.Capital..","Debt.Equity","Revenue.USD.Mil","Net.Income.USD.Mil","Free.Cash.Flow.USD.Mil","Financial.Leverage","Long.Term.Debt","Accounts.Receivable"
"1","A",1.0040758591119,-0.263157895,NA,0.153102337,-0.218721038,-0.438570365,-0.312887237,-0.177777778,-0.323960695,-0.324110671936759,-0.334888059701493,-0.171428571428571,0.00140515222482424,-0.0957894736842105
"2","AAL",5.36618334054043,-1.246367656,NA,-1.215025907,-1.462299135,NA,NA,NA,0.760165145,-1.96968165740273,0.313704496788009,NA,0.558718861209964,-0.0978835978835978
"3","AAP",0.955705650829353,0.256360078,0,3.0917603,-0.497335702,-0.640927564,-0.604468219,-0.367346939,0.519286872,0.205063291139241,-0.267379679144385,-0.424593967517401,0.0836267605633804,0.866840731070496
"4","AAPL",1.895178587335,1.33164557,NA,1.192699491,-0.487624677,-0.115190785,-0.516081871,NA,1.117654667,0.865249594938662,0.689097981846594,0.842105263157895,NA,-0.0566037735849057
"5","ABC",1.22596266799366,-0.354330709,2.395348837,0.066484517,-0.779166667,-0.284184514,-0.596947428,3.882352941,0.909097709,-0.485148514851485,0.038,2.27151051625239,0.496147919876734,0.139008199921906
"6","ABMD",8.97553847586736,-4.65625,NA,2.438848921,-2.188888889,-2.149321267,-2.104977376,NA,3.405940594,-5.33333333333333,NA,-0.0317460317460318,NA,-0.159246575342466
"7","ABT",0.981292651559977,-0.910299003,-0.436170213,0.172303765,-0.906329114,-0.908415842,-0.906719368,0.795918367,-0.294998842,-0.899111675126904,-0.407006284262602,0,0.789,-0.460392156862745
"8","ACN",1.34861741864607,0.604719764,1.688888889,1.284697509,-0.002507837,-0.384581368,-0.384203481,NA,0.344093884,0.512291483757682,0.467083607636603,-0.374384236453202,NA,0.0330156569094623
"9","ADBE",3.7799735915997,1.048484848,NA,0.406621392,0.279835391,0.40513834,0.397736459,-0.153846154,0.731973435,1.03361344537815,1.02925731432858,0.109677419354839,-0.22700119474313,0.186968838526912
"10","ADI",1.22251189628991,-0.263345196,0.882978723,1.114689709,-0.724252492,-0.618548387,-0.654666035,2.217391304,0.706648847,-0.161476355247982,0.167095115681234,0.496402877697842,1.16222760290557,-0.506060606060606
"11","ADM",0.372915653129041,-0.108626198,1.064516129,NA,-0.275362319,-0.262510254,-0.175339367,-0.181818182,-0.246021122,-0.216601178781925,-1.32394758851408,-0.0267857142857143,-0.154081632653061,-0.595442820292347
"12","ADP",1.37661207843211,0.527777778,0.577464789,-0.247346939,0.04379562,0.877691251,0.769866497,49,0.325516651,0.381977671451356,0.158963585434174,0.640350877192982,52.9,0.147869674185464
"13","ADS",1.64300886769723,1.587155963,NA,8.819112628,-0.232240437,-0.858256779,-0.095571096,-0.658962264,1.43271352,1.5047619047619,1.54157782515991,-0.675876935136194,0.0527329641223212,-0.025151069737057
"14","ADSK",1.8027680912701,-3.9,NA,-0.32157969,-2.39382716,-4.597818182,-2.410909091,NA,0.041004613,-3.74528301886792,-0.816764132553606,2.78034682080925,NA,-0.174255691768827
"15","AEE",0.937338663691814,-0.004651163,0.148387097,-0.08131068,-0.059090909,0.104072398,-0.138257576,0.178571429,-0.179790201,0.00770712909441233,-1.11577608142494,0.207357859531772,-0.0327234342012668,-0.117486338797814
