,Company,Earnings Per Share USD,Dividends USD,Book Value Per Share * USD,Return on Assets %,Return on Equity %,Return on Invested Capital %,Debt/Equity,Revenue USD Mil
39,AWK,0.36,0.8,0.275577558,0.041860465,0.086486486,-0.332,-0.03968254,0.259189797
40,AMP,1.08388521,2.724137931,-0.071089023,0.271604938,1.346978558,,0.148648649,0.179314386
41,ABC,-0.354330709,2.395348837,0.066484517,-0.779166667,-0.284184514,-0.596947428,3.882352941,0.909097709
42,AME,0.860759494,1.25,0.914218566,-0.031746032,-0.068690891,-0.061505065,-0.163636364,0.43812709
43,AMGN,-0.334158416,7.214285714,0.50777027,-0.685463659,-0.581096849,-0.665650407,0.205357143,0.466371454
44,APH,0.355263158,22.33333333,0.958762887,-0.432606941,-0.272922022,-0.412717457,0.412698413,0.779441624
45,APC,-0.840225564,-0.444444444,-0.456515922,-0.79337232,-0.703513909,-0.782752902,0.746987952,-0.190750612
46,ADI,-0.263345196,0.882978723,1.114689709,-0.724252492,-0.618548387,-0.654666035,2.217391304,0.706648847
47,ANDV,1.837270341,,1.190265487,0.064846416,0.260239445,-0.056542811,1.228571429,0.154176154
48,ANSS,0.560209424,,0.487137384,0.143037975,0.058181818,0.129318855,,0.584659913
49,ANTM,0.979310345,1.7,0.449849764,0.094594595,0.324733096,,0.833333333,0.483099984
50,AON,0.637630662,1.35,-0.175542406,0.388059701,1.033361134,0.363233666,1.490196078,-0.114202179
51,AOS,0.036585366,2.733333333,0.830188679,-0.289569657,-0.397039897,-0.331753555,-0.4,0.751022794
52,APA,-0.702702703,0.666666667,-0.735061195,-0.378177966,0.078486731,-0.289928058,3.458333333,-0.651409285
53,AAPL,1.33164557,,1.192699491,-0.487624677,-0.115190785,-0.516081871,,1.117654667
54,AMAT,1.186206897,0.333333333,0.21958457,0.300708307,0.75826972,0.357006673,1.590909091,0.382238281
55,ADM,-0.108626198,1.064516129,,-0.275362319,-0.262510254,-0.175339367,-0.181818182,-0.246021122
56,ARNC,,,,,,,,
57,ANET,7.492063492,,,,,,,10.75714286
58,AJG,0.984375,0.181818182,1.136406397,0.06442577,-0.018760196,-0.450171821,,1.886597938
59,AIZ,0.704174229,2.071428571,0.39364519,-0.171568627,0.115902965,,0.315789474,-0.237157017
60,T,6.212121212,0.138728324,0.061554512,3.760273973,5.14600551,2.449856734,0.534482759,0.266904982
61,ADSK,-3.9,,-0.32157969,-2.39382716,-4.597818182,-2.410909091,,0.041004613
62,ADP,0.527777778,0.577464789,-0.247346939,0.04379562,0.877691251,0.769866497,49,0.325516651
63,AZO,1.26348228,,0.969619444,-0.033692722,,,,0.348817044
64,AVB,0.303901437,0.591036415,0.716678137,-0.110701107,-0.257417103,-0.122591944,-0.144578313,1.228070175
65,AVY,0.758426966,0.76,-0.216413374,0.567639257,1.48305821,0.579141104,1.172413793,0.097577166
66,BHGE,,,,,,,,
67,BLL,-0.198473282,1.571428571,1.298405467,-0.6416,-0.687422935,-0.602298851,-0.253393665,0.272653534
68,BAC,155,8.75,0.215392304,,169.75,,-0.471590909,0.014611936
69,BAX,-0.667525773,-0.515873016,0.410815174,-0.63927691,-0.756652868,-0.68320802,-0.472222222,-0.239833009
70,BBT,0.49726776,0.96875,0.364978061,0.294871795,0.090551181,,-0.288,0.31287703
71,BDX,-0.181494662,0.780487805,1.455960854,-0.74328594,-0.595882115,-0.686407219,1.823529412,0.544641717
72,BBY,0.058441558,1.344827586,,0.052407932,0.21659919,0.161330049,1,-0.161541216
73,BIIB,1.365079365,,1.36338904,-0.242361111,-0.017241379,-0.200339559,1.764705882,1.430778372
74,BLK,1.443815683,0.818181818,0.345208048,0.738461538,0.785557987,0.838422392,-0.36,0.375509305
